date,price
2015-01-04,55.0
2015-01-11,56.11753441904414
2015-01-18,55.83912714310764
2015-01-25,57.10998184500785
2015-02-01,59.65321696876313
2015-02-08,58.36944135456771
2015-02-15,57.488070729450016
2015-02-22,60.15487335875962
2015-03-01,60.645201534391035
2015-03-08,58.797018984693935
2015-03-15,59.30680021356513
2015-03-22,57.875386399058854
2015-03-29,56.84639800604588
2015-04-05,57.37874057447649
2015-04-12,53.87571988822407
2015-04-19,51.67976146545647
2015-04-26,52.17296630455578
2015-05-03,51.6934949184181
2015-05-10,53.70877382893535
2015-05-17,52.92738666436204
2015-05-24,51.421373710156274
2015-05-31,55.478931397958185
2015-06-07,55.315398289147794
2015-06-14,55.683974331786324
2015-06-21,53.22118579103991
2015-06-28,52.99092005577587
2015-07-05,53.96409487288814
2015-07-12,52.354646533171305
2015-07-19,53.90784003809239
2015-07-26,53.236021053889324
2015-08-02,53.27968750907006
2015-08-09,52.72895988869288
2015-08-16,56.7305709680557
2015-08-23,56.239855916594976
2015-08-30,53.99940617099927
2015-09-06,55.769405894085224
2015-09-13,53.37077618847299
2015-09-20,54.228812812179875
2015-09-27,50.96132782147603
2015-10-04,49.76992199399598
2015-10-11,51.687946314126435
2015-10-18,54.08052991158903
2015-10-25,54.82473340332498
2015-11-01,54.89141110626996
2015-11-08,54.65772281238046
2015-11-15,52.42629435273036
2015-11-22,52.24487733559574
2015-11-29,52.64313489928886
2015-12-06,55.726140256177715
2015-12-13,56.727105852513795
2015-12-20,53.72176226583822
2015-12-27,55.38033472197581
2016-01-03,55.36247165687049
2016-01-10,54.88686445840801
2016-01-17,56.92383335585938
2016-01-24,59.201825612488626
2016-01-31,60.71509047661207
2016-02-07,58.66577033530825
2016-02-14,58.18718736394761
2016-02-21,59.03282396659906
2016-02-28,42.8328202107685
2016-03-06,41.53554022063516
2016-03-13,41.148636789381264
2016-03-20,39.22515314988611
2016-03-27,37.68426722211082
2016-04-03,40.189916323922
2016-04-10,42.965798442024415
2016-04-17,42.38074742625963
2016-04-24,43.8770484875615
2016-05-01,43.775370474258
2016-05-08,41.86175899456741
2016-05-15,42.26338693185851
2016-05-22,44.63480190718407
2016-05-29,43.47084056774955
2016-06-05,45.4732243351266
2016-06-12,39.341412651479324
2016-06-19,41.07940814666656
2016-06-26,40.96630930118915
2016-07-03,40.14939675965744
2016-07-10,40.225917251157306
2016-07-17,36.502169998126554
2016-07-24,36.97057439124831
2016-07-31,38.31731281270563
2016-08-07,41.28022681224619
2016-08-14,39.80139155039349
2016-08-21,38.20074877758679
2016-08-28,37.59286154696989
2016-09-04,39.70473225725012
2016-09-11,40.174377259675055
2016-09-18,38.978778268044195
2016-09-25,40.013486074674034
2016-10-02,40.03384593553025
2016-10-09,41.64807783281394
2016-10-16,39.83978471446113
2016-10-23,39.25403761376301
2016-10-30,38.76377789283434
2016-11-06,36.5343821665178
2016-11-13,38.152740691474904
2016-11-20,39.31443328691415
2016-11-27,39.75246471631022
2016-12-04,57.70067639955184
2016-12-11,55.60348714121725
2016-12-18,55.949963014768045
2016-12-25,56.40529750893452
2017-01-01,55.97038940601929
2017-01-08,56.87360607973511
2017-01-15,58.60145706795556
2017-01-22,62.56994568927218
2017-01-29,62.398968302972435
2017-02-05,62.4732401377775
2017-02-12,61.97204077226662
2017-02-19,58.32875157891211
2017-02-26,59.14307740939312
2017-03-05,59.91074893204832
2017-03-12,64.80770454445519
2017-03-19,63.565730672532226
2017-03-26,63.566335700349796
2017-04-02,62.96087348486313
2017-04-09,60.476930601147444
2017-04-16,62.83635738818791
2017-04-23,63.81310342516848
2017-04-30,64.56313821131481
2017-05-07,62.014165427295076
2017-05-14,64.30853275558033
2017-05-21,60.87640468998698
2017-05-28,61.946519732994105
2017-06-04,65.56307040248348
2017-06-11,62.399573144490645
2017-06-18,60.843418802862374
2017-06-25,60.87998023036725
2017-07-02,59.780092404483135
2017-07-09,57.064550064136924
2017-07-16,57.98791854679239
2017-07-23,56.584471582076304
2017-07-30,58.30987805891203
2017-08-06,57.0205964097473
2017-08-13,60.518121504906475
2017-08-20,58.82312242622671
2017-08-27,58.425318045660646
2017-09-03,60.181603638097194
2017-09-10,57.77131240930446
2017-09-17,58.672463347233524
2017-09-24,61.28281043218274
2017-10-01,57.9404455842879
2017-10-08,58.79050506470645
2017-10-15,59.5747124424382
2017-10-22,61.1211541333697
2017-10-29,58.64828070539656
2017-11-05,56.76962471703676
2017-11-12,58.78948916963079
2017-11-19,59.89846063547038
2017-11-26,60.675542838324915
2017-12-03,61.4720517869603
2017-12-10,60.26339577938886
2017-12-17,61.10121099250712
2017-12-24,61.87950815698052
